date,geo_value,hosps_7dav
2022-04-23,va,7.2857143
2022-04-23,vi,0
2022-04-23,vt,1.1428571
2022-04-23,wa,5
2022-04-23,wi,7.2857143
2022-04-23,wv,5.8571429
2022-04-23,wy,0.1428571
2022-04-24,ak,0.1428571
2022-04-24,al,3.8571429
2022-04-24,ar,4.7142857
2022-04-24,as,0
2022-04-24,az,20.4285714
2022-04-24,ca,24.1428571
2022-04-24,co,27.8571429
2022-04-24,ct,6.5714286
2022-04-24,dc,0.4285714
2022-04-24,de,2.5714286
2022-04-24,fl,23.2857143
2022-04-24,ga,7.1428571
2022-04-24,hi,0.7142857
2022-04-24,ia,3
2022-04-24,id,1.8571429
2022-04-24,il,19.5714286
2022-04-24,in,10.5714286
2022-04-24,ks,4.4285714
2022-04-24,ky,13.5714286
2022-04-24,la,4.5714286
2022-04-24,ma,27.4285714
2022-04-24,md,7.2857143
2022-04-24,me,4.4285714
2022-04-24,mi,23
2022-04-24,mn,5.7142857
2022-04-24,mo,9.8571429
2022-04-24,ms,3.2857143
2022-04-24,mt,2.2857143
2022-04-24,nc,9
2022-04-24,nd,0.5714286
2022-04-24,ne,2.2857143
2022-04-24,nh,4.5714286
2022-04-24,nj,19.7142857
2022-04-24,nm,6.8571429
2022-04-24,nv,11.1428571
2022-04-24,ny,44
2022-04-24,oh,19.2857143
2022-04-24,ok,9.8571429
2022-04-24,or,4.5714286
2022-04-24,pa,31.7142857
2022-04-24,pr,16.8571429
2022-04-24,ri,1.1428571
2022-04-24,sc,5.2857143
2022-04-24,sd,1.1428571
2022-04-24,tn,5.7142857
2022-04-24,tx,44.5714286
2022-04-24,ut,1
2022-04-24,va,7.4285714
2022-04-24,vi,0
2022-04-24,vt,0.7142857
2022-04-24,wa,4.7142857
2022-04-24,wi,7.8571429
2022-04-24,wv,6.2857143
2022-04-24,wy,0.1428571
2022-04-25,ak,0.2857143
2022-04-25,al,3.5714286
2022-04-25,ar,5.2857143
2022-04-25,as,0
2022-04-25,az,18.7142857
2022-04-25,ca,26.1428571
2022-04-25,co,25.8571429
2022-04-25,ct,7.7142857
2022-04-25,dc,0.2857143
2022-04-25,de,2.4285714
2022-04-25,fl,22.8571429
2022-04-25,ga,7
2022-04-25,hi,0.5714286
2022-04-25,ia,3.2857143
2022-04-25,id,1.8571429
2022-04-25,il,18.7142857
2022-04-25,in,11
2022-04-25,ks,5.1428571
2022-04-25,ky,13.8571429
2022-04-25,la,4.1428571
2022-04-25,ma,29
2022-04-25,md,8
2022-04-25,me,4.7142857
2022-04-25,mi,22.5714286
2022-04-25,mn,5.8571429
2022-04-25,mo,9.8571429
2022-04-25,ms,4.1428571
2022-04-25,mt,2
2022-04-25,nc,9
2022-04-25,nd,0.4285714
