fips,date,beta_est,beta_est_smooth,beta_covidestim,beta_covidestim_smooth,beta_wt,beta_wt_smooth,region_name,county_name
04013,2021-02-19,0.2660667941879006,0.26127243126774014,0.3134812794232997,0.30988183126306423,0.29882564652890853,0.29962392532719273,Phoenix,Maricopa
04013,2021-02-20,0.26616537739216634,0.26265671139442387,0.3134196666491174,0.31120806039711674,0.299151812500611,0.3009580758043581,Phoenix,Maricopa
04013,2021-02-21,0.2659483324589644,0.26416987867714536,0.31310099440517397,0.3125978918383379,0.29938005392662526,0.3023716438655959,Phoenix,Maricopa
04013,2021-02-22,0.2654393489372765,0.2658144009301148,0.3125725117439452,0.31405353448043016,0.2995360305043102,0.30386579293206706,Phoenix,Maricopa
04013,2021-02-23,0.26467246045186293,0.2675927459675425,0.31188166803153217,0.3155771972170952,0.2996529458223454,0.30544168642493263,Phoenix,Maricopa
04013,2021-02-24,0.26369929563680017,0.2695072640607474,0.3110758859111571,0.3171709419305957,0.2997716312969112,0.3071002569260122,Phoenix,Maricopa
04013,2021-02-25,0.26260248971804084,0.27155983530948485,0.3102174062258323,0.318836242457437,0.29994016321217537,0.30884151365976137,Phoenix,Maricopa
04013,2021-02-26,0.26148132061215706,0.27375222227061946,0.3094033284316337,0.3205744256226851,0.3002125838433366,0.3106652350112941,Phoenix,Maricopa
04013,2021-02-27,0.26044651338296004,0.2760861875010156,0.30873486392010496,0.3223868182514058,0.3006463686377785,0.3125711993657246,Phoenix,Maricopa
04013,2021-02-28,0.25961784867186316,0.2785634935575379,0.3083125066212721,0.32427474716866533,0.301300137158566,0.3145591851081673,Phoenix,Maricopa
04013,2021-03-01,0.2591166408304699,0.28118514892459084,0.308236663382355,0.3262389040300612,0.30223089229614875,0.3166284427132078,Phoenix,Maricopa
04013,2021-03-02,0.25905082128333046,0.28394914579673886,0.3085987147151648,0.3282774398133173,0.30349158300778456,0.3187761110133178,Phoenix,Maricopa
04013,2021-03-03,0.25952490349429613,0.2868527222960866,0.30946142840819874,0.3303878703266893,0.305129952058556,0.3209988009304402,Phoenix,Maricopa
04013,2021-03-04,0.2606443685316416,0.28989311654473854,0.3108845751742248,0.33256771137843283,0.3071860275190507,0.32329312338651817,Phoenix,Maricopa
04013,2021-03-05,0.2625179866141658,0.293067566664799,0.3129317965492892,0.33481447877680326,0.30969256104433884,0.32565568930349453,Phoenix,Maricopa
04013,2021-03-06,0.2652468839488008,0.29637209536885295,0.31567174416940214,0.33712481815574213,0.31267009284193453,0.32808247436954835,Phoenix,Maricopa
04013,2021-03-07,0.2688806607883666,0.29979786373140394,0.31915662136896916,0.33949189445193306,0.3161235790323999,0.3305669133378001,Phoenix,Maricopa
04013,2021-03-08,0.27344215883948275,0.3033348174174359,0.32335091322514914,0.3419080024277456,0.3200432687275477,0.3331018057276061,Phoenix,Maricopa
04013,2021-03-09,0.27893935571237943,0.3069729020919327,0.3281965194148328,0.34436543684554904,0.3244029927217131,0.3356799510583227,Phoenix,Maricopa
04013,2021-03-10,0.285366852503384,0.3107020634198778,0.33363456384289747,0.34685649246771294,0.3291650259405319,0.33829414884930603,Phoenix,Maricopa
04013,2021-03-11,0.292701203208454,0.31451123929869323,0.3396040116367483,0.3493729380862592,0.33427435510484294,0.3409368356753821,Phoenix,Maricopa
04013,2021-03-12,0.30087569460941804,0.318385336555552,0.3460318235124669,0.35190443861181947,0.33966284316739415,0.34359899633325514,Phoenix,Maricopa
04013,2021-03-13,0.3097857758004219,0.32230825425006615,0.3527921838164825,0.3544401329846788,0.3452495657991119,0.3462712526750993,Phoenix,Maricopa
04013,2021-03-14,0.31929259417234174,0.32626389144184664,0.35973276205678445,0.3569691601451213,0.350942047903097,0.3489442265530886,Phoenix,Maricopa
04013,2021-03-15,0.3292208701108952,0.33023614719050487,0.3666887297249828,0.35948065903343146,0.3566403724042678,0.35160853981939705,Phoenix,Maricopa
04013,2021-03-16,0.33936240126337414,0.3342088803556839,0.3734823256390529,0.3619640545379776,0.36224017901949535,0.35425501448013136,Phoenix,Maricopa
04013,2021-03-17,0.34951091995973366,0.3381657889971529,0.37993192986929886,0.3644099153394628,0.3676432702946092,0.3568752731571299,Phoenix,Maricopa
04013,2021-03-18,0.35945870743722647,0.34209053097471226,0.3859096343519225,0.3668090960666736,0.3727541242954518,0.35946113862616375,Phoenix,Maricopa
04013,2021-03-19,0.3689886712752992,0.34596676414816335,0.3913113846106888,0.3691524513483972,0.3774871340766085,0.3620044336630044,Phoenix,Maricopa
04013,2021-03-20,0.37787684685701545,0.3497781463773067,0.3960312526640678,0.37143083581342046,0.3817707151220901,0.36449698104342265,Phoenix,Maricopa
04013,2021-03-21,0.3859012820501938,0.3535094538743489,0.3999628129833774,0.3736360838923041,0.3855454211323068,0.36693129132425906,Phoenix,Maricopa
04013,2021-03-22,0.39289867261598194,0.35714993626111985,0.4030098137573116,0.3757639492227043,0.38877245262834575,0.3693026261866299,Phoenix,Maricopa
04013,2021-03-23,0.3987674694996124,0.3606899615118554,0.4051688919022667,0.37781116524405145,0.39143575902662464,0.3716069350927208,Phoenix,Maricopa
04013,2021-03-24,0.40344856030443815,0.36411989760079105,0.40649453696450466,0.3797744653957758,0.39353790935583544,0.3738401675047169,Phoenix,Maricopa
04013,2021-03-25,0.4069216942535247,0.36743011250216306,0.4070481844499446,0.3816505831173077,0.39509922316142054,0.3759982728848042,Phoenix,Maricopa
04013,2021-03-26,0.40920249088756216,0.3706125402335953,0.4068963217872332,0.3834372579719395,0.39615540255181225,0.3780779583129519,Phoenix,Maricopa
04013,2021-03-27,0.4103563614294243,0.3736653789862648,0.4061114216040036,0.3851362540184138,0.3967552820777202,0.3800789613402649,Phoenix,Maricopa
04013,2021-03-28,0.41049489539230927,0.3765883929947372,0.404798948740841,0.38675034143933507,0.3969596622763434,0.3820017771356325,Phoenix,Maricopa
04013,2021-03-29,0.4097594253573815,0.3793813464935778,0.4030877172667261,0.38828229041730766,0.3968370717522246,0.3838469008679434,Phoenix,Maricopa
04013,2021-03-30,0.4083129184283292,0.3820440037173519,0.40110644153791675,0.38973487113493627,0.3964605009608513,0.3856148277060863,Phoenix,Maricopa
04013,2021-03-31,0.4063323399697112,0.38457719393864614,0.3989821634001745,0.3911113271283766,0.39590355804366506,0.3873064946690794,Phoenix,Maricopa
04013,2021-04-01,0.403987841877652,0.3869860065821296,0.39683847349748,0.3924167953479885,0.3952377890391262,0.38892460617645463,Phoenix,Maricopa
04013,2021-04-02,0.40143447696318446,0.3892765961104922,0.3947729317366643,0.3936568860976828,0.39453011560145734,0.3904723084978732,Phoenix,Maricopa
04013,2021-04-03,0.3988201088713924,0.3914551169864241,0.3928590318693478,0.3948372096813704,0.3938414743300199,0.391952747902996,Phoenix,Maricopa
04013,2021-04-04,0.39628617477984746,0.3935277236726152,0.39116809897788024,0.3959633764029622,0.3932264603670856,0.3933690706614842,Phoenix,Maricopa
04013,2021-04-05,0.3939677522446045,0.3955006185309735,0.389770512917171,0.39704074001817186,0.3927322639570284,0.3947243844837902,Phoenix,Maricopa
