date,beta_est,mask,others_masked,work_outside,shop_indoors,restaurant_indoors,spent_indoors,large_event_indoors,travel_outside_state,smoothed_wothers_distanced_public,smoothed_wpublic_transit_1d
2020-01-29,0.9283934894087134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-30,0.9509604466659048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-31,0.9894040746980972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1.0164003803228805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-02,1.0564946364531702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-03,1.0600874437393744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-04,1.07261125213311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-05,1.121176871872188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-06,1.1385743170057816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-07,1.173678058833008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-08,1.159241376033768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-09,1.1567341780714857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-10,1.1514409569738415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-11,1.1603166863909944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-12,1.153165256931919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-13,1.16341451592915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-14,1.1486327039448383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-15,1.1216926947409152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-16,1.1080272404478932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-17,1.1083148367637572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-18,1.0874241045040414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-19,1.0903743251436055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-20,1.077935985025469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-21,1.0489824168831776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-22,1.0356125388964847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-23,1.0242375464409397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-24,1.0059264958693497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-25,0.9991703327906268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,0.9937956154175656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-27,0.99283570283081235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,0.997340056682098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29,1.005212607136072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1.0175394098383073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02,1.0322829280543762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,1.046198510639763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,1.059381942580291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,1.0681651490376338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,1.0716787963791652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
