date,New_York,Los_Angeles,Chicago,Houston,Miami,Seattle,Denver,Dallas,Boston,San_Francisco,mean
2021-02-20,-2.3,13.3,-12.4,5.5,19.8,5.6,-2.1,3.5,-3.0,11.0,3.8899999999999997
2021-02-21,-4.6,14.6,-4.9,14.5,21.4,7.6,-1.9,12.2,-6.6,10.3,6.260000000000001
2021-02-22,-0.8,15.7,-0.2,14.9,23.4,8.6,2.2,10.6,-2.7,12.4,8.41
2021-02-23,2.4,17.4,2.1,14.0,23.2,4.7,3.5,16.3,2.7,14.0,10.03
2021-02-24,4.7,16.4,2.0,19.1,23.4,3.9,-1.3,16.9,5.3,13.4,10.379999999999999
2021-02-25,4.5,14.7,-3.7,19.4,22.7,5.1,-4.8,10.7,4.8,11.2,8.459999999999999
2021-02-26,1.4,14.2,-2.3,20.8,24.0,5.4,-6.3,11.4,-0.7,11.2,7.910000000000001
2021-02-27,6.0,14.6,2.8,20.9,24.8,4.1,-5.7,15.8,3.5,10.1,9.689999999999998
2021-02-28,4.5,14.4,5.2,21.9,25.1,6.6,-7.6,18.4,3.7,12.3,10.45
2021-03-01,5.4,14.5,-2.9,17.1,25.0,7.4,-5.2,10.5,4.8,11.5,8.809999999999999
2021-03-02,-3.4,16.0,-1.6,12.0,24.3,6.0,-0.2,10.3,-6.9,10.7,6.719999999999999
2021-03-03,3.3,10.6,3.8,10.8,25.0,5.9,3.2,11.1,1.5,10.1,8.53
2021-03-04,1.8,11.4,-0.8,12.4,19.1,6.0,0.5,14.4,-0.2,10.4,7.500000000000002
2021-03-05,-2.2,15.4,-0.1,15.5,21.0,7.4,4.6,14.6,-4.0,11.0,8.32
2021-03-06,-1.4,13.3,-0.8,13.9,21.7,6.6,4.1,11.1,-3.7,9.7,7.45
2021-03-07,-0.8,13.0,1.7,11.6,19.4,5.8,6.9,11.2,-3.2,9.5,7.51
2021-03-08,-0.4,14.4,9.5,13.3,19.3,5.0,6.0,13.3,-1.9,10.0,8.849999999999998
2021-03-09,7.9,12.0,9.9,17.6,21.0,4.9,9.1,17.2,6.0,9.9,11.55
2021-03-10,4.7,10.7,14.2,19.5,22.2,5.5,4.3,19.7,3.2,8.8,11.28
2021-03-11,11.3,8.8,10.7,20.9,22.4,5.7,0.6,21.9,10.2,8.8,12.129999999999999
2021-03-12,13.6,8.8,3.6,21.0,22.9,5.0,2.6,21.5,11.9,10.3,12.120000000000001
2021-03-13,4.3,10.2,4.8,20.4,23.3,5.9,1.2,21.1,2.6,9.5,10.330000000000002
2021-03-14,4.6,11.8,3.4,19.8,23.2,5.8,-0.9,16.5,1.3,10.2,9.569999999999999
2021-03-15,-1.6,11.1,0.3,19.3,23.4,4.2,-3.6,17.4,-6.3,8.7,7.290000000000001
2021-03-16,-0.3,9.2,1.1,21.7,24.3,4.2,-4.0,19.7,-2.3,8.3,8.190000000000001
2021-03-17,4.2,11.0,1.1,21.0,24.9,5.4,-1.5,16.5,3.2,8.7,9.45
2021-03-18,5.9,12.6,2.6,12.8,25.0,6.0,-5.1,10.6,4.8,10.8,8.6
2021-03-19,1.7,14.7,0.9,12.1,24.7,8.0,-1.5,11.2,0.5,10.9,8.32
2021-03-20,3.7,15.2,3.7,11.7,20.5,7.0,2.0,12.4,4.3,10.1,9.059999999999999
2021-03-21,6.0,13.7,8.3,12.7,20.2,5.5,-0.4,13.2,6.1,10.2,9.55
2021-03-22,6.1,13.9,11.5,17.9,19.3,6.2,-0.8,14.9,6.7,10.3,10.600000000000001
2021-03-23,8.0,15.2,11.2,20.4,20.6,6.5,-1.5,15.4,7.6,12.7,11.610000000000001
2021-03-24,9.4,16.5,12.2,18.4,23.1,6.3,-1.3,15.7,8.4,11.7,12.040000000000001
2021-03-25,12.1,12.6,5.3,19.9,25.3,7.3,-1.9,14.9,13.0,11.0,11.95
2021-03-26,16.5,12.6,2.8,18.3,25.6,7.1,1.4,16.5,15.0,12.2,12.8
