"date","rt_raw","rt_loess","incidence_raw","incidence_loess","expected_cases_raw","expected_cases_loess","obs_cases_raw","obs_cases_loess","I_trace_raw","I_trace_loess"
2022-08-12,1.0043048147878,0.993273809621749,2321,2315,34.632255931034,35.2040147577974,35,36,6304.43305875429,6357.14947129663
2022-08-13,1.00523817939335,0.994416941716214,2301,2291,34.5338945909402,34.9975213509812,39,27,6321.20391726046,6351.71613556403
2022-08-14,1.00603816877477,0.995634390888102,2362,2284,34.4955895561591,34.8456918292617,48,48,6336.99361688149,6346.943607852
2022-08-15,1.00676364614737,0.996942608757725,2391,2355,34.514353672231,34.7452708640507,55,55,6366.19619904597,6332.76807190308
2022-08-16,1.00747361459228,0.998358046945392,2279,2231,34.5847955094241,34.6680866945151,37,37,6416.75388602167,6342.81178999382
2022-08-17,1.00822709943562,0.999897157071415,2393,2336,34.7173641846393,34.6204071778882,41,41,6428.89228620978,6326.62291425243
2022-08-18,1.00908290185876,1.00157639075611,2333,2272,34.8609126809793,34.5846659036422,29,29,6443.72754210223,6322.40039914765
2022-08-19,1.01009972196686,1.00341219961978,2425,2358,34.9737684062672,34.5425845457244,38,37,6450.50263280197,6313.7440066764
2022-08-20,1.01090237747783,1.00530915724394,2389,2320,35.0679223253672,34.5081638930472,39,39,6484.69423603548,6332.94692054932
2022-08-21,1.01117616207446,1.00716713122229,2437,2367,35.1778051318277,34.5092889480095,37,36,6524.0403868423,6358.53919950701
2022-08-22,1.01107043727171,1.00899551419336,2546,2474,35.329029092636,34.5662240477866,31,31,6571.62711544028,6395.08322974615
2022-08-23,1.01073465024671,1.01080369879572,2440,2333,35.5270825717834,34.6833491392711,50,30,6661.72861149777,6476.8323878481
2022-08-24,1.01031837236612,1.01260107766791,2561,2490,35.8070312248326,34.8934456861021,27,26,6731.13631021935,6526.40983687903
2022-08-25,1.0099699968765,1.01439704344849,2439,2371,36.1522169695314,35.1649359108451,52,51,6805.144905216,6587.1501027936
2022-08-26,1.00983772834845,1.016200988776,2423,2359,36.5102997754544,35.4462549994151,54,53,6832.83901056664,6614.85794288506
2022-08-27,1.01007122898427,1.018022306289,2539,2481,36.814822432658,35.6967321491105,35,34,6809.62167054213,6601.92112941533
2022-08-28,1.01082062596284,1.01987038862604,2549,2499,36.9878292426444,35.8546972935474,35,34,6808.20549420057,6615.1987835663
2022-08-29,1.01223671907771,1.02175462842568,2506,2464,37.0689532762739,35.957998042718,48,47,6847.93531579516,6671.58138192307
2022-08-30,1.01402769141022,1.02368441832646,2503,2469,37.1688946932147,36.1086113181559,28,27,6888.26861076502,6730.20408660419
2022-08-31,1.01582041908042,1.02566915096693,2605,2578,37.3140212685429,36.3252864256981,23,23,6905.7949539923,6767.52897736132
2022-09-01,1.01764335320302,1.02771821898565,2584,2566,37.4607408558006,36.5589930056216,43,42,6945.13326306104,6827.3506131501
2022-09-02,1.01952301332583,1.02984101502117,2629,2619,37.6177722226847,36.8139586789694,31,30,6999.04027776384,6902.47443604442
2022-09-03,1.0214831375735,1.03204693171204,2653,2652,37.8243009583211,37.1260760256347,40,39,7065.7947139647,6991.03419330024
2022-09-04,1.02354902327293,1.03434536169681,2587,2595,38.088660378548,37.5017343232137,49,49,7137.79279492567,7085.55668277821
2022-09-05,1.0257523175718,1.03674569761404,2625,2642,38.3965740036403,37.92568715899,26,26,7174.57733497527,7145.61554403764
2022-09-06,1.02812468624022,1.03925733210227,2684,2712,38.6888631798042,38.3383331735426,24,24,7189.56303322674,7184.507618906
2022-09-07,1.03069989439145,1.04188965780006,2764,2801,38.9151212176513,38.6890707739319,37,37,7220.79244236824,7240.868922122
2022-09-08,1.03351475137424,1.04465206734596,2777,2824,39.1115446378622,39.014524347606,62,62,7300.62661011689,7346.64263650895
2022-09-09,1.03671977592793,1.04766693635806,2709,2765,39.3703909379648,39.4072296162402,33,33,7407.44143398449,7479.90113426018
2022-09-10,1.04037547330073,1.05102413644942,2784,2850,39.7354265526382,39.9102317057024,45,45,7476.67833652889,7575.52036318494
2022-09-11,1.04438943264734,1.05468430425102,2907,2984,40.1374486056342,40.4529529099137,47,48,7526.16446185228,7651.37930129512
2022-09-12,1.04867439066143,1.05860807639388,2782,2866,40.5095406759325,40.9673633834228,46,47,7617.45936575864,7769.65693000379
2022-09-13,1.05315047604379,1.06275608950899,2893,2988,40.8937566328978,41.4953882061041,55,55,7687.78212278688,7866.36962364379
2022-09-14,1.05774012874611,1.06708898022734,3016,3123,41.3002222844797,42.0463440864514,35,36,7755.74793364549,7960.53798956529
2022-09-15,1.0623515358667,1.07156738517993,3014,3130,41.7018555082384,42.5922140281293,46,47,7870.25761838232,8102.3234086612
2022-09-16,1.06688816022265,1.07615194099776,3076,3204,42.158843630593,43.19451083036,51,52,8009.91059400902,8269.88774016497
2022-09-17,1.07124858284226,1.08080328431184,3267,3411,42.7266706972977,43.9102465299531,39,40,8156.28609581224,8445.01545915538
2022-09-18,1.07532405748816,1.08548205175315,3151,3305,43.3986405167868,44.7337151293304,40,42,8355.9151625344,8676.14055473402
2022-09-19,1.07944794122274,1.09014887995269,3379,3554,44.1944275431305,45.6874492845447,29,30,8526.49820674358,8879.7603030678
2022-09-20,1.08398874236015,1.09476440554146,3383,3571,45.0840294861703,46.7440034316719,43,45,8718.89633608343,9109.12473368715
2022-09-21,1.08886400973694,1.09928926515047,3623,3831,46.025311166082,47.8640983506093,40,42,8916.05003860273,9345.98659660847
2022-09-22,1.09395655675265,1.1036840954107,3576,3796,47.0348062189461,49.066913853948,48,50,9177.97831364633,9650.89651020524
2022-09-23,1.09909998500535,1.10790953295315,3816,4056,48.1658466205041,50.4062731336331,44,46,9435.37754980321,9951.75825636983
2022-09-24,1.10414365014787,1.11192621440883,3955,4211,49.427423773065,51.8886489352495,26,28,9724.77335400206,10285.7153693692
2022-09-25,1.10905258882466,1.11569477640872,4154,4427,50.8056735304097,53.4967867804907,37,39,10059.1116430165,10665.4607481329
2022-09-26,1.11380921403832,1.11917585558383,4235,4521,52.347149861948,55.2755077537607,59,62,10453.6227300299,11105.9969862687
2022-09-27,1.11843697249225,1.12233008856516,4471,4773,54.1011489158915,57.2722304706441,52,55,10857.7558364751,11554.8763984704
2022-09-28,1.12338103809159,1.1254804902057,4592,4903,56.0489604751058,59.4645477956642,70,74,11286.1488518625,12026.6425014474
2022-09-29,1.12888852755667,1.12894670449408,4848,5170,58.146606200001,61.8040989432808,65,69,11721.4855839267,12501.9819173973
2022-09-30,1.13473558204584,1.13268431176473,5184,5516,60.3695470970669,64.2613035435501,36,39,12194.8453020638,13011.502906286
2022-10-01,1.14071681247605,1.1366488923521,5216,5545,62.7351012006703,66.8481729236076,59,63,12764.1116895988,13613.5142930863
2022-10-02,1.1466535042035,1.14079602659062,5619,5955,65.3322114559352,69.6498343083791,56,60,13332.7753833218,14207.3055834677
2022-10-03,1.15199266638695,1.14508129481474,5828,6165,68.1613182122442,72.6602064345266,57,61,13944.7562363071,14838.0333870338
2022-10-04,1.15621646240331,1.1494602773589,6102,6490,71.1791660205069,75.829893002697,84,89,14593.479712111,15500.3162211516
2022-10-05,1.1593352709052,1.15388855455753,6449,6812,74.398088670339,79.1745607005091,92,97,15276.4377026561,16212.8901134846
2022-10-06,1.16154250243088,1.15832170674508,6743,7131,77.8209800064054,82.7228381651346,81,86,16014.1292017387,16981.1577786187
2022-10-07,1.16326154647735,1.16271531425599,7098,7516,81.4651075816241,86.5089064947931,78,83,16799.5428963629,17797.189936751
2022-10-08,1.16478434974213,1.16702495742469,7591,8049,85.3553276001998,90.5528108949499,69,74,17635.5574227687,18671.4751530259
2022-10-09,1.16612485221543,1.17120621658563,7865,8364,89.5123136836006,94.8829610393194,103,109,18575.4006349427,19667.4436069017
2022-10-10,1.16758446949559,1.17521467207325,8268,8820,94.0033340648838,99.5920221286602,71,76,19561.9481082433,20730.6005492067
2022-10-11,1.16960336784244,1.17900590422199,8840,9457,98.8459421493519,104.724152712591,127,134,20570.2649603472,21836.7342312012
2022-10-12,1.17277364685569,1.18253549336629,9325,10002,103.976255527081,110.234315120762,142,149,21666.7943942861,23054.4300970519
2022-10-13,1.17879867402405,1.18575901984058,9718,10432,109.417465229668,116.159464478874,82,88,22870.9614583822,24399.6053821702
2022-10-14,1.18825320283902,1.18863206397931,10296,11019,115.260778326842,122.593641975379,128,135,24117.6025711236,25791.1052981803
2022-10-15,1.19972004186342,1.19111020611693,11235,11939,121.495885391305,129.500576162327,116,124,25413.2876226141,27211.3407837073
2022-10-16,1.21117427675992,1.19314902658786,11763,12399,128.093685875506,136.787101144698,149,158,26929.97932248,28809.2058813886
2022-10-17,1.21997445306253,1.19470410572655,12448,13002,135.244637544536,144.551184669809,133,142,28613.7327579877,30505.9230824412
2022-10-18,1.2270608106292,1.19597189427107,13479,13929,143.14535641488,152.882479338051,161,172,30388.8392260767,32215.9478710401
2022-10-19,1.2349687881077,1.19716958025588,14436,14725,151.775462293653,161.66360462124,145,154,32343.0757525875,34028.9539149929
2022-10-20,1.24282148831157,1.19828384995996,15501,15578,161.167313173333,170.862554519782,176,186,34530.6220345647,35991.3345529454
2022-10-21,1.24952401773779,1.19930138966231,16803,16623,171.501031916795,180.612075471946,179,189,36966.0117138198,38100.9908228712
2022-10-22,1.25379122722367,1.20020888564191,17982,17513,182.952528016556,191.030653386107,179,187,39700.6053816863,40394.5621203382
2022-10-23,1.25416560923388,1.20099302417775,19458,18692,195.684272196791,202.214456283901,232,239,42688.177714628,42823.3614060765
2022-10-24,1.25077999261218,1.20164049154882,20891,19841,209.792952113539,214.20933850335,234,239,45952.7233317398,45427.7620833629
2022-10-25,1.24478014413182,1.20213797403412,22179,20870,225.314163459377,227.046092848902,236,238,49475.570486709,48223.0095026677
2022-10-26,1.23751024380061,1.20247215791264,23912,22358,242.244569876884,240.783345158337,248,247,53136.7741420278,51131.6721091209
2022-10-27,1.2304785178669,1.20262972946336,25343,23569,260.431754263272,255.394634237379,303,297,56996.0269035004,54247.2624790578
2022-10-28,1.22140032383809,1.20259737496528,27032,25104,279.730133798774,270.89310329094,341,331,61001.1530423905,57541.3408634178
2022-10-29,1.20827903602426,1.20236178069738,28929,26983,300.056170059239,287.353967522408,309,296,65161.9407290631,61055.6863137443
2022-10-30,1.1933253147527,1.20190963293866,30098,28298,321.337897923187,304.870873337399,304,288,69563.7958101855,64941.7556142401
2022-10-31,1.17893237885269,1.20122761796811,31787,30238,343.593458475496,323.685398083958,423,400,73953.2029828897,69039.0627528514
2022-11-01,1.16763003976097,1.20030242206472,33142,31928,366.60844517874,343.898998682788,365,342,78286.8454995458,73370.5944813744
2022-11-02,1.15843001020469,1.19912073150747,34865,34073,389.946670168105,365.42775399075,397,372,82500.63997683,77889.0477665206
2022-11-03,1.1492581208036,1.19766923257536,36152,35930,413.26753130007,388.212551804946,361,338,86716.2706444252,82701.245112445
2022-11-04,1.14111977598653,1.19593461154739,38022,38477,436.4535122118,412.295570254858,473,448,90873.1377776194,87749.3130150305
2022-11-05,1.13504597235756,1.19390355470253,39145,40341,459.501287783398,437.756089884188,482,460,95116.1388518303,93187.7542818389
2022-11-06,1.12949469374866,1.19150560485013,40975,43028,482.493770592161,464.735061649714,491,473,99283.7021721589,98842.6394792185
2022-11-07,1.12333047099272,1.18869864482389,42327,45362,505.448623219771,493.272681862585,490,478,103480.176601292,104807.300544162
2022-11-08,1.11823555935099,1.1855118709393,43630,47715,528.340991145636,523.329678748781,559,554,107660.276367746,111041.601674496
2022-11-09,1.1159207164103,1.18197447951186,45347,50488,551.184941551496,554.905562433222,557,560,111730.603557025,117446.274209351
2022-11-10,1.11811628971566,1.17811566685708,47215,53299,573.8584100846,587.858915677224,547,561,115803.599486449,124087.193222763
2022-11-11,1.12831804200809,1.17396462929045,49281,55958,596.366517505013,622.098370304051,628,654,120076.95692054,131044.781966531
2022-11-12,1.14599817542994,1.16955056312748,52088,58917,619.098710180759,657.725151674474,561,598,124722.602522949,138250.600166458
2022-11-13,1.16681536994977,1.16490266468366,55663,62226,642.734607539373,694.789785974379,631,682,130056.519349759,145697.124453952
2022-11-14,1.18638033613511,1.16005013027451,59011,64885,668.285789038165,733.265754178555,686,752,136507.486739071,153516.676569197
2022-11-15,1.20027028902626,1.15502215621551,62547,67483,697.159001045266,773.257168647769,701,777,144084.730603583,161511.410024752
2022-11-16,1.21439107667249,1.14984793882217,67181,70639,730.544741783086,814.665158742375,727,811,152560.129530338,169405.967728905
2022-11-17,1.23390582198506,1.14455667441,72699,73765,768.877996346897,856.918321946385,745,832,162067.813629228,177281.124073984
2022-11-18,1.25323226271633,1.13917755929449,78572,76484,812.431012463979,899.55331806151,780,866,173026.564636733,185300.630707566
2022-11-19,1.26676068082887,1.13373978979114,85801,79989,862.045057311965,942.572843819111,819,898,185662.251135184,193370.414773878
2022-11-20,1.26886258157174,1.12827256221546,92769,83062,918.925643901354,986.044238581337,906,973,200305.424875118,201649.445067192
2022-11-21,1.25728000637204,1.12280507288294,99117,85796,984.321382198611,1030.09238066417,893,937,216784.245121872,210121.454721377
2022-11-22,1.23632727870767,1.1173665181091,105967,89367,1058.91521067864,1074.89110047633,989,1005,234334.210704522,218551.05934866
2022-11-23,1.21023619178521,1.11198609420942,111046,91786,1141.9162332152,1120.27592796538,1108,1086,252418.258341491,227080.005505299
2022-11-24,1.18325073571417,1.10669299749941,116838,95077,1231.29521408595,1166.03733991229,1258,1157,270078.623654829,235451.535682797
2022-11-25,1.159623465732,1.10151642429457,121361,97961,1324.16902021351,1211.91207718238,1346,1236,287001.652921391,243752.821622473
2022-11-26,1.13232680118675,1.0960491646634,125221,100800,1417.49928928442,1257.60191888339,1454,1175,302827.409026883,251996.18416921
2022-11-27,1.09572958419746,1.08991585063187,125754,102539,1508.7278648232,1303.02317623367,1424,1306,317218.306334765,260152.936755359
2022-11-28,1.05619125016967,1.08319344145165,126275,105270,1595.3832060177,1348.02409162675,1528,1254,328852.514834944,267754.676121074
2022-11-29,1.02007885644298,1.07595889637441,124542,107401,1674.00829526235,1391.93573259389,1604,1359,337105.607274089,274894.99562546
2022-11-30,0.993764681662364,1.06828917465183,123597,109288,1740.52579186065,1434.0559382799,1690,1414,341504.921803241,281656.379063541
2022-12-01,0.976959552471855,1.06026123553559,121879,110714,1791.5896204434,1474.17858442794,1730,1462,342701.149873399,288014.233499707
2022-12-02,0.964436033910966,1.05195203827738,119770,112332,1825.78823789124,1512.19660975643,1898,1504,341516.51742045,293773.657847417
2022-12-03,0.955160749784194,1.04343854212886,117322,113235,1844.03954780195,1547.7772130254,1921,1649,338586.468507768,298955.98004254
2022-12-04,0.94809921786461,1.03479770634172,115050,113934,1848.51452572637,1580.56008540526,1743,1543,334281.100704802,303452.054360443
2022-12-05,0.94221615406648,1.02610649016763,113055,114926,1841.60862035755,1610.22204155289,1887,1525,329012.661350423,307167.208623494
2022-12-06,0.940254153823301,1.01744185285827,109862,115559,1825.68968769534,1636.39163709364,1974,1622,323293.259436868,310285.187641729
2022-12-07,0.943727068720454,1.00888075366531,108406,114750,1803.13557912632,1659.00735793912,1823,1605,317017.924750397,312944.455535907
2022-12-08,0.949755063062254,1.00050015184045,106597,114060,1775.77417894817,1678.29632213046,1688,1624,310700.176667977,314676.058350744
2022-12-09,0.955457302006625,0.992377006635348,105661,113897,1745.21753582763,1693.90334510697,1725,1580,304716.062284036,315209.99736206
2022-12-10,0.95795225600832,0.984588277301689,103832,112471,1713.41825665009,1704.90869670539,1639,1626,299510.098535855,314890.43655896
2022-12-11,0.956866776063327,0.97721092309115,102295,111527,1682.33825238756,1710.95580278378,1689,1672,294855.247698304,313720.684037499
2022-12-12,0.954760885683976,0.970321903255409,100548,109898,1653.16775887114,1712.21800895511,1707,1783,290463.290245535,311858.338863084
2022-12-13,0.953152645693325,0.963998177046143,98968,108750,1625.96955813809,1708.95515966913,1703,1799,286072.052788689,309273.087757926
2022-12-14,0.953560332046493,0.958316703715031,98082,106631,1600.17420482614,1701.47480738759,1612,1717,281634.305285113,306199.285106948
2022-12-15,0.958040479889708,0.952803755281934,96563,105162,1575.20594078003,1690.20794196053,1745,1869,277465.958177967,302529.604127266
2022-12-16,0.965936344870969,0.946970020852382,96284,102879,1551.04063636125,1675.53153500847,1525,1560,273547.29732565,298435.636205971
2022-12-17,0.974696208463721,0.940869085306557,95293,100149,1527.99430004868,1657.74887069019,1491,1711,270196.770987341,293846.231297649
2022-12-18,0.981768154545543,0.934554533524639,95632,98435,1506.58634760196,1637.06757448414,1540,1591,267340.426357909,288535.721905316
2022-12-19,0.984600132793764,0.928079950386811,94858,95228,1487.3981700881,1613.33639523006,1456,1612,265269.627454938,282845.333697092
2022-12-20,0.985748154944177,0.921498920773253,94483,93014,1470.99840929606,1586.61949075984,1497,1545,263705.848326249,276617.794860349
2022-12-21,0.988085648891844,0.914865029564148,94182,89803,1457.60890170304,1557.14277995283,1441,1569,262397.51578423,270052.764013052
2022-12-22,0.989536546984038,0.908231861639675,94195,87074,1446.76474894146,1525.08883464665,1495,1523,261226.41706641,263032.637445547
2022-12-23,0.988024711235187,0.901653001880017,93341,83532,1437.82667927669,1490.62576484149,1458,1590,260295.42306469,255655.624920604
2022-12-24,0.981473956463401,0.895182035165355,92661,80513,1430.39479260039,1453.83880900048,1394,1461,259330.254132582,247769.845959757
2022-12-25,0.967677908517652,0.888872546375871,91018,77585,1423.95490576949,1414.70472564261,1491,1491,258120.007246554,239497.907200492
2022-12-26,0.947828994224277,0.882778120391745,88539,74121,1417.60081789688,1373.26325599376,1425,1373,256240.297064398,231091.075059407
2022-12-27,0.924949262073526,0.876952342093159,84984,70919,1410.00402583814,1329.94935888377,1411,1348,253164.438918764,222525.185574226
2022-12-28,0.902060818338031,0.871448796360295,81520,67826,1399.26316849062,1285.22966328374,1451,1321,248319.73290576,213809.440118522
2022-12-29,0.882185809189022,0.866321068073333,77454,64667,1383.08361581303,1239.3668890374,1383,1247,241686.51431124,205042.260737222
2022-12-30,0.860069103234607,0.861622742112455,73184,61787,1359.61598055143,1192.65887467429,1370,1169,233451.136810957,196294.730672026
2022-12-31,0.831727509382204,0.857407403357842,67892,58994,1328.06591938504,1145.48948226484,1360,1079,223898.177572703,187693.676702946
2023-01-01,0.802091150283676,0.853728636689676,62081,55493,1288.48799581329,1098.31005265337,1209,1055,212969.18275116,179339.420715502
2023-01-02,0.77609019359911,0.850640026988139,56649,52629,1241.08870802,1051.56464549857,1227,1113,200515.103808713,170958.587952724
2023-01-03,0.758654837872057,0.84819515913341,51703,50297,1185.82528680441,1005.27559066585,1273,1089,186820.843879896,162542.176432168
2023-01-04,0.750262719796746,0.846358179188431,47214,47756,1123.02534071896,959.237535491398,1198,984,172568.821020021,154410.816459595
2023-01-05,0.746999259710494,0.845030693173456,42989,44815,1054.12963423945,913.743111573172,1000,947,158491.511633225,146712.240774457
2023-01-06,0.747206336869272,0.844172475904638,39666,42763,981.584924029166,869.404021091748,950,819,145047.945750703,139215.583334368
2023-01-07,0.749225818795695,0.843743302198128,36085,40763,908.119011978423,826.433017955886,944,818,132666.128806931,132008.708624595
2023-01-08,0.751399564636344,0.843702946870081,33186,38433,836.252945799943,784.864790262039,849,793,121332.945675051,125252.590389702
2023-01-09,0.756644491317553,0.844011184736647,30508,36534,767.837285558596,744.996050735672,765,716,111030.561741802,118846.856282036
2023-01-10,0.767103579752385,0.844627790613982,28288,34522,703.886266684942,707.024297980953,685,759,101707.684542224,112755.707708852
2023-01-11,0.779957773432513,0.845512539318236,26801,32850,644.89105276652,670.888864599509,627,656,93378.7275423792,106909.547417138
2023-01-12,0.792388008816127,0.846625205665562,24855,30947,591.122835219069,636.454141552561,579,732,86216.1813397776,101365.174303882
2023-01-13,0.80157521752651,0.847925564472113,23617,29539,542.892397594528,603.635454217824,530,636,80007.395322024,96051.2057420454
2023-01-14,0.807436239194505,0.849373390554043,22109,28005,500.255107562425,572.361563199326,503,588,74648.7484221109,91047.9120371265
2023-01-15,0.812258290905338,0.850928458727503,20566,26563,462.855302660468,542.616497785432,418,456,69905.7110053949,86355.7303849971
2023-01-16,0.816777869593145,0.852550543808646,19089,25437,430.056106640866,514.462367403003,461,576,65511.9100861239,81937.3847654008
2023-01-17,0.821731473983326,0.854199420613625,18463,24082,400.916101428913,487.903402360275,380,489,61285.3109755703,77845.6862071108
2023-01-18,0.827855604080515,0.855834863958592,17355,22865,374.458969101259,462.95201516598,351,453,57477.3092736411,74005.5270782127
2023-01-19,0.834534082482322,0.857416648659701,16341,22070,350.256057402474,439.56783718368,356,420,54102.4616752202,70348.6644386407
2023-01-20,0.841053375475684,0.858904549533103,15616,20829,328.300726544274,417.593171998651,305,437,51039.2925037191,66986.5047171112
2023-01-21,0.84800394976382,0.860258341394952,15074,20282,308.444675464383,396.984964705154,344,362,48253.3535616819,63819.969836774
2023-01-22,0.855976272493332,0.8614377990614,14159,19015,290.458993556738,377.733593390656,251,353,45808.3955250588,60964.8440546789
2023-01-23,0.866320632983177,0.862821869509046,13801,18429,274.250275262161,359.833718679185,289,356,43564.5813543942,58226.0405253241
2023-01-24,0.878965431762812,0.864777967336705,13004,17380,259.668609246788,343.169545500708,240,313,41563.7568886301,55651.2718341619
2023-01-25,0.892368302738453,0.867248568793852,12855,16962,246.512490991605,327.528703091318,276,301,39687.1974330275,53142.5990981258
2023-01-26,0.904986879524301,0.870176150129965,12659,16320,234.591938660466,312.743152912793,277,289,38057.3519250039,50841.1607141074
2023-01-27,0.915278795541045,0.873503187594518,12230,15549,223.852050552999,298.801927177315,207,270,36762.9116113621,48776.7120921905
2023-01-28,0.924703551823433,0.877172157436987,11970,14876,214.461194435933,285.84363556042,184,302,35692.6396835713,46837.6665647502
2023-01-29,0.93498002447574,0.881125535906849,11858,14291,206.452658659256,273.827978410465,202,298,34750.9365986872,44937.8308493893
2023-01-30,0.944954909298612,0.88530579925358,11815,13966,199.619914529795,262.518649665397,207,276,33947.7331026211,43082.7029285796
2023-01-31,0.953474901965189,0.889655423726655,11551,13496,193.781777744634,251.736954314859,223,252,33333.3717113044,41402.4804473781
2023-02-01,0.959386698059566,0.89411688557555,11382,13013,188.892868805906,241.547537049446,208,231,32821.0850765821,39914.7680412937
2023-02-02,0.961396283007881,0.898632661049742,11301,12503,184.85029072618,232.115462330558,164,240,32338.9723880445,38551.557356123
2023-02-03,0.960012808030817,0.903145226398706,11058,12281,181.422540421328,223.45052433389,214,219,31892.8749043459,37225.0220068112
